,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y
2007-07-01,635330.8,246468.29999999996,382216.0,431264.39999999997,2420885.4999999995,1412884.3999999997,242562.69999999995,1004082.6000000002,1237584.8000000003,740199.0000000002,762388.8000000003,60517.400000000016,172479.7,803918.2999999999,249431.7,340567.0,320705.00000000006,470621.50000000006,452395.0,1690827.9000000001,383170.99999999994,237624.0,549853.7999999999,264211.8,105323.3
2007-10-01,635037.2,243798.49999999997,389282.0,429707.9,2467987.3,1419833.6000000003,245947.2,1029212.0,1260411.8000000003,721062.6000000002,773860.6999999998,61529.299999999996,174774.09999999995,754014.6000000001,253492.39999999997,351025.6,316306.89999999985,491336.4,452858.39999999997,1714533.9999999995,384870.5000000001,236112.29999999996,547529.2999999999,267323.7,109303.99999999999
2008-01-01,620227.6,231908.48666666666,353244.0,424130.3,2510486.3999999994,1403541.8000000003,249537.10000000003,1025412.8000000005,1258595.3999999997,692083.7,778232.0999999999,63157.90000000001,178517.93333333335,741919.9999999999,245759.49999999994,352326.30000000005,319005.60000000003,475995.69999999995,450398.0,1695036.6000000008,381920.29999999993,229052.39999999997,538918.7999999999,268756.1,137212.3
2008-04-01,614805.9999999998,229016.0428571429,352263.29999999993,420322.79999999993,2566920.199999999,1401885.4,264484.8,1043757.3999999998,1274443.0,680735.4000000001,787945.7000000001,65144.200000000004,179109.95714285717,693921.7000000002,245216.7,356684.0,318510.0,502079.99999999994,453499.50000000006,1696881.0999999999,379104.90000000014,228238.7,536067.2,271484.7,135008.2
2008-07-01,605432.4,214865.36666666667,335423.3,405601.69999999984,2598827.4,1401376.2,265274.6,1050108.4000000001,1272919.2999999996,665892.4999999999,796127.7999999999,66441.5,180251.30000000005,655106.8999999998,240934.7,360037.30000000005,315463.79999999993,493911.1,448958.8,1680161.2999999993,374149.8999999999,225528.00000000003,525396.7,272044.6,131737.2
2008-10-01,586351.8,220293.35,316133.2,387969.29999999993,2596075.999999999,1425987.2000000004,240322.10000000003,1021589.4000000001,1253559.0,633725.8999999999,804529.7999999999,64629.3,172973.32499999998,566854.6,231151.1,359398.19999999995,317396.5,461387.8,443323.60000000003,1629195.5999999999,369668.5,217268.99999999997,492664.4000000001,269812.0,133730.4
2009-01-01,575160.1999999998,223228.57499999995,298848.4999999999,361719.2,2573934.2,1414447.6000000006,240293.39999999994,975580.7999999999,1222247.8000000005,583224.8000000002,808940.3999999999,65041.99999999999,164154.65000000002,751827.7,220330.20000000004,359161.2,332672.8,466294.2,440289.29999999993,1556320.2999999998,387075.2000000001,208441.5,446963.69999999995,276019.80000000005,125472.69999999998
2009-04-01,570570.2000000002,235700.1666666667,313032.7,359267.4,2559945.5999999996,1380144.5999999994,243253.3,967426.5999999997,1210019.9000000004,568519.1000000002,807037.5999999997,64666.299999999996,160749.1333333333,836969.7999999998,214416.90000000002,359377.9999999999,337242.10000000003,452352.70000000007,443554.4,1524991.6,390763.1,207143.6,436035.7,281068.3,132736.9
2009-07-01,566116.7000000001,246232.58571428576,319722.0,360100.29999999993,2559740.9999999995,1380802.6999999997,249327.7,967247.6000000002,1214491.9000000001,562955.2999999998,813215.9999999995,66482.8,163355.1428571428,851585.3999999999,211271.50000000006,360188.6,333056.3,454189.3999999999,444891.20000000007,1520022.8999999997,390688.3,207819.49999999997,438893.99999999994,283929.0,141345.6
2009-10-01,580426.0999999999,245400.69999999998,333840.4,362863.3,2573639.000000001,1371373.5999999999,259540.10000000003,988686.5999999999,1233755.6000000003,557006.4,820523.2999999999,68540.6,167491.97999999998,841281.0,211824.3,361417.0,329743.69999999984,458083.20000000007,449813.4,1545125.7000000007,388197.8,208101.1,456149.6,288387.89999999997,144694.7
2010-01-01,577647.7,236722.29999999993,341180.3,364756.29999999993,2595889.499999999,1377751.3,275678.60000000003,989789.2000000001,1256489.6999999997,548757.5,833084.9000000004,70247.29999999999,168977.50000000003,838016.8999999999,208972.00000000003,361746.4,327108.3,442366.3000000001,444158.8,1540556.2999999993,385923.19999999995,205672.69999999995,471284.19999999995,287345.69999999995,122657.0
2010-04-01,586866.4000000001,233303.80000000002,344532.5,363433.4000000002,2618070.900000001,1398816.4999999998,276229.20000000007,999717.2999999998,1287552.7999999996,560115.1999999998,845559.1000000001,71950.1,172892.39999999994,823986.7999999998,211105.90000000002,363069.79999999993,323160.20000000007,426900.8,442392.2,1564447.4999999998,378211.6000000001,210547.59999999998,496548.90000000014,289327.1,127212.5
2010-07-01,587485.4000000001,230643.49999999994,350213.2,357542.8,2638358.600000001,1407634.8,282924.3,1026039.2000000003,1310604.0,564871.3999999999,854197.5000000001,71977.60000000002,173725.39999999997,790781.3,212176.89999999997,363506.7,324514.99999999994,418128.80000000005,439432.70000000007,1584092.6999999995,374033.49999999994,213530.3,517234.4,290727.0,128882.40000000001
2010-10-01,589761.0,229070.29999999993,348417.70000000007,348285.89999999997,2660964.8000000003,1421468.1,282803.19999999995,1036092.0999999999,1333207.2,561224.4999999999,866023.7999999998,71335.00000000003,175244.09999999998,794783.3999999999,212526.19999999992,364450.5,330347.7,411145.00000000006,441289.1,1592501.8999999997,368717.99999999994,214336.8,517827.79999999993,290029.9,131273.1
2011-01-01,588221.4000000001,220734.50000000006,349182.39999999997,338856.19999999995,2670569.1,1427347.2000000004,281088.7,1037780.8999999999,1330935.2999999998,555272.3,858814.6999999998,69703.20000000001,169934.3,812494.9999999999,210249.6,362178.99999999994,320655.5,386333.8,433066.1,1584182.3,364089.39999999997,212231.4,521393.6,288464.70000000007,141734.2
2011-04-01,584487.2999999999,217559.79999999996,354538.00000000006,335761.70000000007,2697698.8000000003,1444208.4,293471.3,1043289.1999999998,1365099.7999999998,559029.8000000003,873623.1999999997,70836.39999999998,170306.0,791521.5,210476.0,366136.1,324858.7,384967.79999999993,438446.70000000007,1583212.9000000006,366422.6,215306.39999999997,519272.5,286388.1,136016.40000000002
2011-07-01,580723.1,217913.1,344779.89999999997,329827.19999999995,2703427.1999999993,1452542.0999999994,289800.1999999999,1039535.7,1371672.5999999999,559154.9999999998,872659.7999999998,69602.1,169199.8,809308.1000000002,209575.70000000004,362048.60000000003,325335.9,375613.4,434435.7,1580805.5,358564.19999999995,215407.1,522595.0999999999,285310.50000000006,137288.3
2011-10-01,585969.2999999999,220211.29999999996,344905.69999999995,329843.30000000005,2723757.8,1486769.0000000002,307290.60000000003,1039684.5000000006,1410823.3,563066.1,883440.7000000003,71435.20000000001,170872.90000000002,820365.1000000001,213618.40000000005,360793.5,330487.3,375265.3,429578.8,1606649.1999999995,362076.6,218332.7,538388.2000000001,286027.3,142172.5
2012-01-01,589863.7999999999,229937.98124999998,342850.30000000005,333107.2999999999,2755844.3000000007,1513852.2999999998,288870.29999999993,1060117.4000000004,1410940.4999999998,567466.0000000001,884324.2,70861.5,172147.30000000002,854645.7,212212.20000000004,356036.2,339661.1000000001,381972.6,424188.69999999995,1598953.9999999998,356893.20000000007,220543.79999999996,541434.2000000001,284204.1,136680.7
2012-04-01,578926.7999999998,218419.25999999995,339570.9,329060.00000000006,2764004.399999999,1533990.5,297888.4,1064890.4000000001,1425959.5999999994,567873.7,886848.9999999999,71425.5,174136.72,879214.2000000001,212480.0,351493.79999999993,341528.8000000001,373869.89999999997,416870.8,1605931.7999999998,355115.4000000001,218319.80000000002,549493.1000000001,282592.80000000005,136276.2
2012-07-01,589149.3000000002,211284.54000000004,332224.80000000005,321617.80000000005,2764358.1,1552679.1999999997,293321.19999999995,1054002.2999999998,1440042.4000000001,566934.5,889421.0999999997,71600.2,174429.57000000004,890180.9,213949.1,350112.10000000003,342784.1000000001,371773.5,416621.9,1611183.0000000002,349434.8,219329.40000000008,549240.0000000001,278223.19999999995,129403.49999999999
2012-10-01,589016.5999999997,204308.51874999996,341917.5,316262.60000000003,2794323.900000001,1570204.7999999998,290408.3,1045010.8000000003,1442492.4000000004,568456.3999999999,880990.2000000002,70144.09999999999,175314.21875000006,887885.2999999998,215369.1,348919.3,338284.4,361894.2,413830.3,1610529.3000000003,347692.6,221051.60000000003,555803.4000000001,274456.3,130306.79999999997
2013-01-01,605166.3,218827.30000000002,352242.2,318370.1,2797463.9000000004,1586453.0999999996,291885.89999999997,1089368.4999999998,1453311.9999999995,571001.3999999998,883560.8000000004,70395.39999999997,181753.09999999995,813086.8,218293.90000000002,348812.69999999995,338834.1,379243.49999999994,418525.8,1637861.7,349367.0,224354.80000000002,560285.4999999999,274435.1,145403.09999999998
2013-04-01,603299.7999999999,224342.1,356213.1,316195.39999999997,2800690.5000000005,1601698.0999999996,289877.4000000001,1090864.7999999998,1454282.2000000004,569178.7999999998,879021.4999999998,68577.99999999997,180279.50000000003,819914.5999999999,218091.6,347987.2999999999,332720.4999999999,380806.2,418149.9,1636690.0999999996,347352.70000000007,221557.70000000004,556610.8,272146.50000000006,149831.90000000002
2013-07-01,602683.9000000001,232492.09999999998,360400.99999999994,315563.5,2817641.8999999994,1626651.8,288349.0999999999,1108113.5,1473378.4999999995,572489.9000000001,882518.8999999998,68699.90000000001,182516.59999999995,815261.1000000002,220493.40000000005,347353.2,331137.2000000001,385193.19999999984,417824.6999999999,1659405.0999999999,346809.60000000003,222258.4,559646.3,268402.5,149628.9
2013-10-01,606707.4,232282.20000000004,354860.80000000005,315493.4000000001,2829404.5,1658627.0999999999,286238.3000000001,1145647.2000000004,1477514.8,575773.7000000001,882380.5000000001,68639.5,182616.6,844357.4,221550.59999999998,344114.9,326292.2,391178.3,412223.89999999997,1674838.8999999994,343810.0,221610.2,562723.2999999999,267143.1,146574.5
2014-01-01,608459.3999999998,237767.40000000002,340281.4,318744.0,2834651.5999999996,1669576.4000000006,270212.89999999997,1123394.5,1476257.2,574327.6000000001,877752.8999999999,67729.40000000001,179739.7,853237.5,221430.6,344617.1,322411.90000000014,395059.00000000006,410081.6,1671932.7000000004,346090.30000000005,219696.90000000005,553269.2000000001,263629.1,136627.30000000002
2014-04-01,616166.8000000002,245616.09999999998,336517.69999999995,324565.8,2860532.499999998,1700349.5,274940.19999999995,1140492.6,1495943.3000000003,583535.5,880891.7,68167.50000000001,182719.8,877294.2,223510.6,345890.50000000006,321906.2000000001,403980.60000000003,408675.4000000001,1695582.4000000001,347915.4,222843.99999999997,558966.1000000001,264158.80000000005,141315.2
2014-07-01,619253.9999999999,245003.69999999998,330810.19999999995,323363.3,2916705.300000001,1743889.6000000003,282121.99999999994,1165593.7000000002,1516099.8000000003,590364.7999999997,888710.3999999998,67690.6,186476.50000000003,882579.2999999999,226724.2,347700.6000000001,320185.50000000006,401609.9000000001,404448.60000000003,1731826.6000000006,345203.80000000005,224085.30000000002,569789.0,261214.99999999997,142525.2
2014-10-01,616625.4,244331.0000000001,323082.7,322450.6,2931733.3000000017,1772476.8000000003,279685.0999999999,1173502.4000000004,1519745.5999999996,592527.5,887743.9000000003,67787.90000000002,189737.69999999998,895441.2999999997,226653.19999999998,347432.7,320726.1999999998,401421.50000000006,404711.30000000005,1742958.2999999998,343500.20000000007,224853.3,569491.4999999999,261524.20000000004,148893.2
2015-01-01,628000.9,253435.69999999998,344674.19999999995,317663.0,2977291.2000000007,1815754.0000000005,264345.70000000007,1203870.0999999999,1515238.1000000003,596217.4999999999,883763.5000000002,66403.5,185940.30000000005,900295.9,230755.90000000002,348866.50000000006,316658.49999999994,403372.30000000005,406119.30000000005,1758197.6000000003,344640.6,224411.3,571917.5000000001,259088.39999999994,132478.30000000002
2015-04-01,635203.9999999999,250301.00000000003,338255.3,318193.7,3002182.6999999997,1797066.1000000003,275700.69999999995,1230963.5000000005,1507720.9000000001,604507.6999999998,886760.5999999999,66673.4,188023.50000000003,920730.4000000001,233350.99999999994,350830.19999999995,313515.39999999997,413400.1,405211.60000000003,1788230.9,339876.5,229140.49999999997,576989.4,259777.10000000006,137632.40000000002
2015-07-01,642402.9,246595.69999999998,342290.5,314165.20000000007,3025646.4000000004,1818269.9,276934.3000000001,1256995.7999999998,1513044.8000000005,605023.0000000003,889350.8000000003,66123.9,188357.29999999993,888147.9999999999,235228.00000000003,353842.50000000006,312494.00000000006,408736.4,401252.60000000003,1801276.1,337139.9999999999,231172.0,575328.7999999999,255701.60000000003,144167.1
2015-10-01,642743.2,243931.19999999998,341950.4,311289.0999999999,3038501.9999999995,1825679.8,278801.3,1285797.3,1505656.0,607045.2999999999,890135.7,66613.50000000001,187358.49999999997,875304.5000000001,235882.8,355548.5,312863.5,401176.99999999994,398800.4,1798604.9999999998,338893.69999999995,231829.10000000003,571786.9999999999,257254.30000000002,143605.1
2016-01-01,654655.7000000001,244467.9,322156.0,321536.29999999993,3087639.5,1842593.299999999,286280.49999999994,1310460.5999999999,1490525.5000000005,608907.8,891482.4999999999,64870.6,186100.5,875271.5999999999,236300.89999999997,355924.0999999999,310499.19999999995,413773.2,396113.89999999997,1803240.4999999998,343185.10000000003,231881.00000000003,559293.6000000001,256388.69999999998,143756.5
2016-04-01,657119.7999999999,248026.0,330260.39999999997,317335.89999999997,3113057.8,1817156.5,290995.4,1319181.9000000001,1499630.6,610432.3,892896.9000000001,65518.9,185867.80000000002,895157.0999999999,239136.39999999997,356802.99999999994,305992.4,410116.3,395742.5,1817867.8999999997,341177.39999999997,231730.60000000003,563822.5,256589.60000000003,145165.2
2016-07-01,663597.6000000001,247475.19999999998,331635.60000000003,313705.39999999997,3110543.5000000014,1810873.500000001,293588.1,1336830.0000000002,1503608.4,614243.1000000001,892401.7999999999,65428.1,188795.30000000002,904877.8000000002,241320.59999999998,359915.3999999999,304873.29999999993,406255.89999999997,398313.8,1839194.7999999996,341248.2,231259.5,566869.8999999999,257986.09999999998,144536.70000000004
2016-10-01,670516.7999999999,242508.7,328308.1000000001,310040.6,3144701.3000000017,1818596.8999999997,291509.2,1349000.4000000001,1503901.4,615723.1000000001,893563.8999999996,65039.299999999996,188567.00000000003,906674.2,243614.1,362713.6,306138.0,401911.5,398336.8,1846028.1000000003,339532.49999999994,234476.10000000003,566778.6000000002,255225.5,144549.0
2017-01-01,677189.9,247649.80000000005,325612.0,313468.5266666667,3161762.4999999995,1819047.099999999,285910.87999999995,1372723.2000000002,1509118.4,616235.6999999998,893357.9999999998,64744.600000000006,187857.60000000003,902338.8,243948.40000000002,359985.8999999999,300391.5,410259.25999999995,400343.60000000003,1860458.7,342672.69999999995,234865.69999999998,572852.0,255967.69999999995,142747.6
2017-04-01,684561.3999999998,244435.60000000003,329655.7,313496.5571428571,3199626.3000000003,1845127.5000000007,288760.75714285724,1401746.7000000002,1521873.9,617557.2999999999,899608.5000000002,64549.7,190876.0,881375.6000000002,246045.60000000003,362811.99999999994,303359.77142857143,411948.8142857143,402988.70000000007,1873473.099999999,343339.1,237188.1,576037.7000000002,254564.30000000002,142448.5
2017-07-01,698213.7000000003,241723.10000000003,329032.00000000006,312219.43333333335,3221307.499999999,1867736.0999999994,288484.83333333343,1426809.5000000005,1526658.9000000001,623551.0000000001,902337.6999999996,65496.700000000004,192556.9,887919.2,247151.59999999998,361385.99999999994,304851.5333333334,409960.7333333333,403997.89999999997,1884067.3,344569.7,238924.19999999995,584402.1,256841.40000000005,137136.5
2017-10-01,699713.9000000004,242487.59999999998,333064.5999999999,313601.63333333324,3250333.3999999985,1872526.7999999993,292429.23333333334,1442423.4000000004,1536067.4999999998,629265.9000000003,904762.3000000002,65134.1,195292.29999999993,875149.6000000003,250071.00000000003,363170.0999999999,304252.5333333333,411952.8333333333,404131.2,1906179.2999999996,344441.10000000003,238672.49999999997,585803.7999999999,255354.6,135591.19999999998
2018-01-01,710260.4,250299.79999999996,340686.9,317890.53333333344,3287393.9999999995,1858077.3,288248.0333333332,1460677.4000000001,1543331.0999999999,632469.1999999998,909825.9999999998,66329.20000000001,195392.40000000002,865555.0000000002,254424.00000000003,361394.5,306633.5333333333,414836.0333333333,400720.0,1912337.4000000001,343722.10000000003,240370.8,589456.9000000001,255555.80000000002,128681.79999999999
2018-04-01,709896.7,250677.3,342075.29999999993,318775.13333333336,3337483.7,1879726.4999999995,298496.63333333336,1491894.1000000006,1567549.5999999996,638351.6,920811.3,67070.19999999998,198535.90000000002,860824.4999999999,254793.50000000003,364247.89999999997,307500.83333333326,413434.73333333334,400267.00000000006,1925143.6999999997,343187.7,241333.19999999998,599173.1000000001,256033.30000000002,134719.30000000002
